,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1417,31,No,Travel_Rarely,1154,Sales,2,College,Life Sciences,1,1996,Low,Male,54,High,1,Sales Representative,High,Married,3067,6393,0,Y,No,19,Excellent,High,80,1,3,1,Better,2,2,1,2
1418,38,No,Travel_Frequently,508,Research & Development,6,Master,Life Sciences,1,1997,Low,Male,72,Medium,2,Manufacturing Director,High,Married,5321,14284,2,Y,No,11,Excellent,Very High,80,1,10,1,Better,8,3,7,7
1419,42,No,Travel_Rarely,557,Research & Development,18,Master,Life Sciences,1,1998,Very High,Male,35,High,2,Research Scientist,Low,Divorced,5410,11189,6,Y,Yes,17,Excellent,High,80,1,9,3,Good,4,3,1,2
1420,41,No,Travel_Rarely,642,Research & Development,1,Bachelor,Life Sciences,1,1999,Very High,Male,76,High,1,Research Scientist,Very High,Married,2782,21412,3,Y,No,22,Outstanding,Low,80,1,12,3,Better,5,3,1,0
1422,35,No,Travel_Rarely,1490,Research & Development,11,Master,Medical,1,2003,Very High,Male,43,High,1,Laboratory Technician,High,Married,2660,20232,7,Y,Yes,11,Excellent,High,80,1,5,3,Better,2,2,2,2
1423,22,No,Travel_Rarely,581,Research & Development,1,College,Life Sciences,1,2007,Very High,Male,63,High,1,Research Scientist,High,Single,3375,17624,0,Y,No,12,Excellent,Very High,80,0,4,2,Best,3,2,1,2
1426,32,No,Travel_Rarely,267,Research & Development,29,Master,Life Sciences,1,2010,High,Female,49,Medium,1,Laboratory Technician,Medium,Single,2837,15919,1,Y,No,13,Excellent,High,80,0,6,3,Better,6,2,4,1
1427,40,No,Travel_Rarely,543,Research & Development,1,Master,Life Sciences,1,2012,Low,Male,83,High,1,Laboratory Technician,Very High,Married,2406,4060,8,Y,No,19,Excellent,High,80,2,8,3,Good,1,0,0,0
1428,32,No,Travel_Rarely,234,Sales,1,Master,Medical,1,2013,Medium,Male,68,Medium,1,Sales Representative,Medium,Married,2269,18024,0,Y,No,14,Excellent,Medium,80,1,3,2,Better,2,2,2,2
1429,39,No,Travel_Rarely,116,Research & Development,24,Below College,Life Sciences,1,2014,Low,Male,52,High,2,Research Scientist,Very High,Single,4108,5340,7,Y,No,13,Excellent,Low,80,0,18,2,Better,7,7,1,7
1431,32,No,Travel_Rarely,801,Sales,1,Master,Marketing,1,2016,High,Female,48,High,3,Sales Executive,Very High,Married,10422,24032,1,Y,No,19,Excellent,High,80,2,14,3,Better,14,10,5,7
1433,25,No,Travel_Rarely,1382,Sales,8,College,Other,1,2018,Low,Female,85,High,2,Sales Executive,High,Divorced,4907,13684,0,Y,Yes,22,Outstanding,Medium,80,1,6,3,Good,5,3,0,4
1434,52,No,Non-Travel,585,Sales,29,Master,Life Sciences,1,2019,Low,Male,40,High,1,Sales Representative,Very High,Divorced,3482,19788,2,Y,No,15,Excellent,Medium,80,2,16,3,Good,9,8,0,0
1435,44,No,Travel_Rarely,1037,Research & Development,1,Bachelor,Medical,1,2020,Medium,Male,42,High,1,Research Scientist,Very High,Single,2436,13422,6,Y,Yes,12,Excellent,High,80,0,6,2,Better,4,3,1,2
1438,23,Yes,Travel_Frequently,638,Sales,9,Bachelor,Marketing,1,2023,Very High,Male,33,High,1,Sales Representative,Low,Married,1790,26956,1,Y,No,19,Excellent,Low,80,1,1,3,Good,1,0,1,0
1439,36,No,Travel_Rarely,557,Sales,3,Bachelor,Medical,1,2024,Low,Female,94,Medium,3,Sales Executive,Very High,Married,7644,12695,0,Y,No,19,Excellent,High,80,2,10,2,Better,9,7,3,4
1441,56,No,Non-Travel,667,Research & Development,1,Master,Life Sciences,1,2026,High,Male,57,High,2,Healthcare Representative,High,Divorced,6306,26236,1,Y,No,21,Outstanding,Low,80,1,13,2,Good,13,12,1,9
1444,56,Yes,Travel_Rarely,310,Research & Development,7,College,Technical Degree,1,2032,Very High,Male,72,High,1,Laboratory Technician,High,Married,2339,3666,8,Y,No,11,Excellent,Very High,80,1,14,4,Bad,10,9,9,8
1446,34,No,Travel_Rarely,704,Sales,28,Bachelor,Marketing,1,2035,Very High,Female,95,Medium,2,Sales Executive,High,Married,6712,8978,1,Y,No,21,Outstanding,Very High,80,2,8,2,Better,8,7,1,7
1447,36,No,Non-Travel,301,Sales,15,Master,Marketing,1,2036,Very High,Male,88,Low,2,Sales Executive,Very High,Divorced,5406,10436,1,Y,No,24,Outstanding,Low,80,1,15,4,Good,15,12,11,11
1449,32,No,Travel_Rarely,529,Research & Development,2,Bachelor,Technical Degree,1,2038,Very High,Male,78,High,1,Research Scientist,Low,Single,2439,11288,1,Y,No,14,Excellent,Very High,80,0,4,4,Better,4,2,1,2
1450,35,No,Travel_Rarely,1146,Human Resources,26,Master,Life Sciences,1,2040,High,Female,31,High,3,Human Resources,Very High,Single,8837,16642,1,Y,Yes,16,Excellent,High,80,0,9,2,Better,9,0,1,7
1451,38,No,Travel_Rarely,345,Sales,10,College,Life Sciences,1,2041,Low,Female,100,High,2,Sales Executive,Very High,Married,5343,5982,1,Y,No,11,Excellent,High,80,1,10,1,Better,10,7,1,9
1452,50,Yes,Travel_Frequently,878,Sales,1,Master,Life Sciences,1,2044,Medium,Male,94,High,2,Sales Executive,High,Divorced,6728,14255,7,Y,No,12,Excellent,Very High,80,2,12,3,Better,6,3,0,1
1453,36,No,Travel_Rarely,1120,Sales,11,Master,Marketing,1,2045,Medium,Female,100,Medium,2,Sales Executive,Very High,Married,6652,14369,4,Y,No,13,Excellent,Low,80,1,8,2,Good,6,3,0,0
1454,45,No,Travel_Rarely,374,Sales,20,Bachelor,Life Sciences,1,2046,Very High,Female,50,High,2,Sales Executive,High,Single,4850,23333,8,Y,No,15,Excellent,High,80,0,8,3,Better,5,3,0,1
1455,40,No,Travel_Rarely,1322,Research & Development,2,Master,Life Sciences,1,2048,High,Male,52,Medium,1,Research Scientist,High,Single,2809,2725,2,Y,No,14,Excellent,Very High,80,0,8,2,Better,2,2,2,2
1456,35,No,Travel_Frequently,1199,Research & Development,18,Master,Life Sciences,1,2049,High,Male,80,High,2,Healthcare Representative,High,Married,5689,24594,1,Y,Yes,14,Excellent,Very High,80,2,10,2,Best,10,2,0,2
1459,29,No,Travel_Rarely,1378,Research & Development,13,College,Other,1,2053,Very High,Male,46,Medium,2,Laboratory Technician,Medium,Married,4025,23679,4,Y,Yes,13,Excellent,Low,80,1,10,2,Better,4,3,0,3
1460,29,No,Travel_Rarely,468,Research & Development,28,Master,Medical,1,2054,Very High,Female,73,Medium,1,Research Scientist,Low,Single,3785,8489,1,Y,No,14,Excellent,Medium,80,0,5,3,Bad,5,4,0,4
1463,31,No,Non-Travel,325,Research & Development,5,Bachelor,Medical,1,2057,Medium,Male,74,High,2,Manufacturing Director,Low,Single,9936,3787,0,Y,No,19,Excellent,Medium,80,0,10,2,Better,9,4,1,7
1464,26,No,Travel_Rarely,1167,Sales,5,Bachelor,Other,1,2060,Very High,Female,30,Medium,1,Sales Representative,High,Single,2966,21378,0,Y,No,18,Excellent,Very High,80,0,5,2,Better,4,2,0,0
1465,36,No,Travel_Frequently,884,Research & Development,23,College,Medical,1,2061,High,Male,41,Very High,2,Laboratory Technician,Very High,Married,2571,12290,4,Y,No,17,Excellent,High,80,1,17,3,Better,5,2,0,3
1468,49,No,Travel_Frequently,1023,Sales,2,Bachelor,Medical,1,2065,Very High,Male,63,Medium,2,Sales Executive,Medium,Married,5390,13243,2,Y,No,14,Excellent,Very High,80,0,17,3,Good,9,6,0,8
1469,34,No,Travel_Rarely,628,Research & Development,8,Bachelor,Medical,1,2068,Medium,Male,82,Very High,2,Laboratory Technician,High,Married,4404,10228,2,Y,No,12,Excellent,Low,80,0,6,3,Best,4,3,1,2
